station,lat,lng,population
白石洲,22.539604,113.967048,45179
大新,22.532232,113.915072,47106
华侨城,22.533489,113.985369,13718
桃园,22.531506,113.924781,54945
侨城北,22.543992,113.989148,14500
湾厦,22.493353,113.938604,6117
东角头,22.486325,113.931149,12377
登良,22.509146,113.937602,8365
后海,22.518172,113.943503,14358
海月,22.500409,113.937715,14381
海上世界,22.485101,113.915111,8344
世界之窗,22.5369,113.974216,60812
科苑,22.527019,113.946195,15131
蛇口港,22.476626,113.912331,4065
高新园,22.540236,113.953842,45702
红树湾,22.525142,113.968432,5717
西丽,22.580677,113.954396,34884
深圳大学,22.538667,113.944173,41720
赤湾,22.479227,113.897525,2290
水湾,22.488389,113.919686,10702
留仙洞,22.580534,113.943543,8588
大学城,22.581946,113.965307,23084
长岭陂,22.599395,114.010275,4636
塘朗,22.590097,113.999666,4692
前海湾,22.537335,113.897933,592
鲤鱼门,22.532005,113.903079,2049
