division,date,unemployment
Bethesda,2000/1/1,2.6
Bethesda,2000/2/1,2.6
Bethesda,2000/3/1,2.6
Bethesda,2000/4/1,2.6
Bethesda,2000/5/1,2.7
Bethesda,2000/6/1,2.7
Bethesda,2000/7/1,2.7
Bethesda,2000/8/1,2.6
Bethesda,2000/9/1,2.6
Bethesda,2000/10/1,2.6
Bethesda,2000/11/1,2.6
Bethesda,2000/12/1,2.6
Bethesda,2001/1/1,2.7
Bethesda,2001/2/1,2.7
Bethesda,2001/3/1,2.8
Bethesda,2001/4/1,2.8
Bethesda,2001/5/1,2.9
Bethesda,2001/6/1,3
Bethesda,2001/7/1,3.1
Bethesda,2001/8/1,3.3
Bethesda,2001/9/1,3.4
Bethesda,2001/10/1,3.5
Bethesda,2001/11/1,3.5
Bethesda,2001/12/1,3.6
Bethesda,2002/1/1,3.6
Bethesda,2002/2/1,3.6
Bethesda,2002/3/1,3.6
Bethesda,2002/4/1,3.6
Bethesda,2002/5/1,3.6
Bethesda,2002/6/1,3.5
Bethesda,2002/7/1,3.5
Bethesda,2002/8/1,3.4
Bethesda,2002/9/1,3.4
Bethesda,2002/10/1,3.4
Bethesda,2002/11/1,3.4
Bethesda,2002/12/1,3.4
Bethesda,2003/1/1,3.4
Bethesda,2003/2/1,3.4
Bethesda,2003/3/1,3.4
Bethesda,2003/4/1,3.4
Bethesda,2003/5/1,3.4
Bethesda,2003/6/1,3.4
Bethesda,2003/7/1,3.4
Bethesda,2003/8/1,3.3
Bethesda,2003/9/1,3.3
Bethesda,2003/10/1,3.3
Bethesda,2003/11/1,3.3
Bethesda,2003/12/1,3.3
Bethesda,2004/1/1,3.2
Bethesda,2004/2/1,3.2
Bethesda,2004/3/1,3.2
Bethesda,2004/4/1,3.2
Bethesda,2004/5/1,3.2
Bethesda,2004/6/1,3.2
Bethesda,2004/7/1,3.2
Bethesda,2004/8/1,3.2
Bethesda,2004/9/1,3.2
Bethesda,2004/10/1,3.2
Bethesda,2004/11/1,3.2
Bethesda,2004/12/1,3.3
Bethesda,2005/1/1,3.3
Bethesda,2005/2/1,3.3
Bethesda,2005/3/1,3.3
Bethesda,2005/4/1,3.2
Bethesda,2005/5/1,3.2
Bethesda,2005/6/1,3.1
Bethesda,2005/7/1,3.1
Bethesda,2005/8/1,3
Bethesda,2005/9/1,3
Bethesda,2005/10/1,3
Bethesda,2005/11/1,2.9
Bethesda,2005/12/1,2.9
Bethesda,2006/1/1,2.8
Bethesda,2006/2/1,2.8
Bethesda,2006/3/1,2.8
Bethesda,2006/4/1,2.8
Bethesda,2006/5/1,2.9
Bethesda,2006/6/1,3
Bethesda,2006/7/1,3
Bethesda,2006/8/1,3
Bethesda,2006/9/1,2.9
Bethesda,2006/10/1,2.9
Bethesda,2006/11/1,2.9
Bethesda,2006/12/1,2.9
Bethesda,2007/1/1,2.8
Bethesda,2007/2/1,2.8
Bethesda,2007/3/1,2.7
Bethesda,2007/4/1,2.7
Bethesda,2007/5/1,2.6
Bethesda,2007/6/1,2.6
Bethesda,2007/7/1,2.6
Bethesda,2007/8/1,2.6
Bethesda,2007/9/1,2.6
Bethesda,2007/10/1,2.6
Bethesda,2007/11/1,2.6
Bethesda,2007/12/1,2.5
Bethesda,2008/1/1,2.5
Bethesda,2008/2/1,2.6
Bethesda,2008/3/1,2.7
Bethesda,2008/4/1,2.8
Bethesda,2008/5/1,2.9
Bethesda,2008/6/1,3.1
Bethesda,2008/7/1,3.2
Bethesda,2008/8/1,3.4
Bethesda,2008/9/1,3.6
Bethesda,2008/10/1,3.9
Bethesda,2008/11/1,4.2
Bethesda,2008/12/1,4.5
Bethesda,2009/1/1,4.9
Bethesda,2009/2/1,5.2
Bethesda,2009/3/1,5.5
Bethesda,2009/4/1,5.7
Bethesda,2009/5/1,5.8
Bethesda,2009/6/1,5.9
Bethesda,2009/7/1,6
Bethesda,2009/8/1,6
Bethesda,2009/9/1,6.1
Bethesda,2009/10/1,6.2
Bethesda,2009/11/1,6.2
Bethesda,2009/12/1,6.3
Bethesda,2010/1/1,6.3
Bethesda,2010/2/1,6.3
Bethesda,2010/3/1,6.2
Bethesda,2010/4/1,6.1
Bethesda,2010/5/1,6
Bethesda,2010/6/1,5.9
Bethesda,2010/7/1,5.9
Bethesda,2010/8/1,5.9
Bethesda,2010/9/1,5.9
Bethesda,2010/10/1,5.9
Bethesda,2010/11/1,5.8
Bethesda,2010/12/1,5.8
Bethesda,2011/1/1,5.7
Bethesda,2011/2/1,5.6
Bethesda,2011/3/1,5.5
Bethesda,2011/4/1,5.5
Bethesda,2011/5/1,5.5
Bethesda,2011/6/1,5.6
Bethesda,2011/7/1,5.6
Bethesda,2011/8/1,5.6
Bethesda,2011/9/1,5.6
Bethesda,2011/10/1,5.5
Bethesda,2011/11/1,5.4
Bethesda,2011/12/1,5.4
Bethesda,2012/1/1,5.3
Bethesda,2012/2/1,5.3
Bethesda,2012/3/1,5.3
Bethesda,2012/4/1,5.3
Bethesda,2012/5/1,5.3
Bethesda,2012/6/1,5.3
Bethesda,2012/7/1,5.3
Bethesda,2012/8/1,5.3
Bethesda,2012/9/1,5.2
Bethesda,2012/10/1,5.2
Bethesda,2012/11/1,5.2
Bethesda,2012/12/1,5.2
Bethesda,2013/1/1,5.2
Bethesda,2013/2/1,5.2
Bethesda,2013/3/1,5.1
Bethesda,2013/4/1,5.2
Bethesda,2013/5/1,5.3
Bethesda,2013/6/1,5.5
Bethesda,2013/7/1,5.5
Bethesda,2013/8/1,5.3
Bethesda,2013/9/1,5.2
Bethesda,2013/10/1,5.2
Boston,2000/1/1,2.7
Boston,2000/2/1,2.6
Boston,2000/3/1,2.6
Boston,2000/4/1,2.5
Boston,2000/5/1,2.4
Boston,2000/6/1,2.4
Boston,2000/7/1,2.3
Boston,2000/8/1,2.3
Boston,2000/9/1,2.3
Boston,2000/10/1,2.3
Boston,2000/11/1,2.3
Boston,2000/12/1,2.4
Boston,2001/1/1,2.5
Boston,2001/2/1,2.6
Boston,2001/3/1,2.8
Boston,2001/4/1,2.9
Boston,2001/5/1,3
Boston,2001/6/1,3.2
Boston,2001/7/1,3.4
Boston,2001/8/1,3.6
Boston,2001/9/1,3.8
Boston,2001/10/1,4
Boston,2001/11/1,4.2
Boston,2001/12/1,4.4
Boston,2002/1/1,4.6
Boston,2002/2/1,4.7
Boston,2002/3/1,4.8
Boston,2002/4/1,4.9
Boston,2002/5/1,4.9
Boston,2002/6/1,5
Boston,2002/7/1,5
Boston,2002/8/1,5
Boston,2002/9/1,5.1
Boston,2002/10/1,5.1
Boston,2002/11/1,5.2
Boston,2002/12/1,5.2
Boston,2003/1/1,5.3
Boston,2003/2/1,5.3
Boston,2003/3/1,5.4
Boston,2003/4/1,5.4
Boston,2003/5/1,5.5
Boston,2003/6/1,5.6
Boston,2003/7/1,5.6
Boston,2003/8/1,5.6
Boston,2003/9/1,5.5
Boston,2003/10/1,5.4
Boston,2003/11/1,5.3
Boston,2003/12/1,5.2
Boston,2004/1/1,5.1
Boston,2004/2/1,5.1
Boston,2004/3/1,5
Boston,2004/4/1,4.9
Boston,2004/5/1,4.9
Boston,2004/6/1,4.8
Boston,2004/7/1,4.7
Boston,2004/8/1,4.6
Boston,2004/9/1,4.5
Boston,2004/10/1,4.5
Boston,2004/11/1,4.4
Boston,2004/12/1,4.4
Boston,2005/1/1,4.4
Boston,2005/2/1,4.4
Boston,2005/3/1,4.4
Boston,2005/4/1,4.3
Boston,2005/5/1,4.3
Boston,2005/6/1,4.2
Boston,2005/7/1,4.2
Boston,2005/8/1,4.3
Boston,2005/9/1,4.3
Boston,2005/10/1,4.3
Boston,2005/11/1,4.3
Boston,2005/12/1,4.3
Boston,2006/1/1,4.3
Boston,2006/2/1,4.3
Boston,2006/3/1,4.3
Boston,2006/4/1,4.3
Boston,2006/5/1,4.3
Boston,2006/6/1,4.3
Boston,2006/7/1,4.3
Boston,2006/8/1,4.2
Boston,2006/9/1,4.2
Boston,2006/10/1,4.2
Boston,2006/11/1,4.2
Boston,2006/12/1,4.1
Boston,2007/1/1,4.1
Boston,2007/2/1,4.1
Boston,2007/3/1,4
Boston,2007/4/1,4
Boston,2007/5/1,3.9
Boston,2007/6/1,3.9
Boston,2007/7/1,3.9
Boston,2007/8/1,3.9
Boston,2007/9/1,3.9
Boston,2007/10/1,3.9
Boston,2007/11/1,3.9
Boston,2007/12/1,3.9
Boston,2008/1/1,3.9
Boston,2008/2/1,4
Boston,2008/3/1,4.1
Boston,2008/4/1,4.2
Boston,2008/5/1,4.3
Boston,2008/6/1,4.5
Boston,2008/7/1,4.7
Boston,2008/8/1,4.8
Boston,2008/9/1,5
Boston,2008/10/1,5.3
Boston,2008/11/1,5.6
Boston,2008/12/1,5.9
Boston,2009/1/1,6.2
Boston,2009/2/1,6.5
Boston,2009/3/1,6.7
Boston,2009/4/1,6.9
Boston,2009/5/1,7.1
Boston,2009/6/1,7.3
Boston,2009/7/1,7.4
Boston,2009/8/1,7.5
Boston,2009/9/1,7.6
Boston,2009/10/1,7.6
Boston,2009/11/1,7.6
Boston,2009/12/1,7.6
Boston,2010/1/1,7.6
Boston,2010/2/1,7.5
Boston,2010/3/1,7.5
Boston,2010/4/1,7.4
Boston,2010/5/1,7.3
Boston,2010/6/1,7.2
Boston,2010/7/1,7.1
Boston,2010/8/1,7
Boston,2010/9/1,7
Boston,2010/10/1,6.9
Boston,2010/11/1,6.9
Boston,2010/12/1,6.8
Boston,2011/1/1,6.6
Boston,2011/2/1,6.5
Boston,2011/3/1,6.4
Boston,2011/4/1,6.3
Boston,2011/5/1,6.3
Boston,2011/6/1,6.2
Boston,2011/7/1,6.2
Boston,2011/8/1,6.1
Boston,2011/9/1,6.1
Boston,2011/10/1,6
Boston,2011/11/1,5.9
Boston,2011/12/1,5.8
Boston,2012/1/1,5.7
Boston,2012/2/1,5.7
Boston,2012/3/1,5.6
Boston,2012/4/1,5.6
Boston,2012/5/1,5.6
Boston,2012/6/1,5.6
Boston,2012/7/1,5.6
Boston,2012/8/1,5.6
Boston,2012/9/1,5.6
Boston,2012/10/1,5.6
Boston,2012/11/1,5.6
Boston,2012/12/1,5.6
Boston,2013/1/1,5.6
Boston,2013/2/1,5.5
